Configuration,Sensitivity [%],RMS Noise [%],HPBW [%],MSL [%],UV Points [%],Detections [%]
Config A,88.31,88.31,-2.31,-6.06,,277.78
Config B,88.12,88.12,-0.88,-0.42,,266.67
